row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,funnel,0,bucketed,last_depth,64,128,4,24,0.500823937356472,0.5419622361660004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,25,0.5061180368065834,0.48288095742464066,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,26,0.5082524493336678,0.49665115028619766,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,27,0.5326787605881691,0.5058698132634163,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,28,0.5193367078900337,0.5048968493938446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,funnel,0,bucketed,last_depth,64,128,4,29,0.6243153810501099,0.47072646766901016,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,0,0.5645161271095276,0.48086803406476974,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,1,0.5489699840545654,0.43754449486732483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,2,0.6744191870093346,0.493364542722702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,3,0.5779854506254196,0.4655666872859001,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,4,0.560376301407814,0.5092131718993187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,5,0.6155871450901031,0.5067403838038445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,6,0.5506419241428375,0.5238175466656685,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,7,0.557403177022934,0.43955548107624054,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,8,0.5866354554891586,0.5112926140427589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,9,0.6157738193869591,0.5150169655680656,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,10,0.6198232471942902,0.4865223467350006,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,11,0.6203729510307312,0.49725694209337234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,12,0.5794780924916267,0.4735590070486069,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,13,0.5693107396364212,0.4577415660023689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,14,0.5461695045232773,0.45820730924606323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,15,0.5750336945056915,0.5078118667006493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,16,0.5467202514410019,0.466131828725338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,17,0.5938074663281441,0.5183276832103729,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,18,0.5436710119247437,0.5155332684516907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,19,0.646551214158535,0.5784299597144127,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,20,0.5981241911649704,0.5075557827949524,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,21,0.6078485175967216,0.5239628702402115,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,22,0.6095583662390709,0.5127561986446381,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,23,0.616706021130085,0.4894726797938347,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,last_depth,128,128,4,24,0.6163996532559395,0.5419622361660004,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
