row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,hierarchical_logistic,0,bucketed,history,128,512,8,15,0.428453765809536,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,16,0.44587646424770355,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,17,0.45813102275133133,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,18,0.4389470964670181,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,19,0.4401865303516388,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,20,0.4435422196984291,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,21,0.5101041048765182,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,22,0.47145743668079376,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,23,0.5084346458315849,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,24,0.5465130135416985,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,25,0.5892805233597755,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,26,0.5463809221982956,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,27,0.503946028649807,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,28,0.484422005712986,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,hierarchical_logistic,0,bucketed,history,128,512,8,29,0.42388320714235306,0.35354384034872055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,0,0.3935566917061806,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,1,0.397328644990921,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,2,0.3992275595664978,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,3,0.4034924581646919,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,4,0.39761045575141907,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,5,0.40387284755706787,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,6,0.4068024531006813,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,7,0.41108057647943497,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,8,0.40651433914899826,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,9,0.4009566232562065,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,10,0.396377369761467,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,11,0.41027551144361496,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,12,0.40590766072273254,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,13,0.4204573333263397,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,14,0.4365249052643776,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,15,0.5370681434869766,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,16,0.4204138293862343,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,17,0.4179442971944809,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,18,0.4169794023036957,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,19,0.4266899526119232,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,20,0.40196993201971054,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,21,0.4262219965457916,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,22,0.4121585041284561,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,23,0.4253170117735863,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,hierarchical_logistic,0,bucketed,last_depth,64,512,8,24,0.41814590990543365,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
