row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,stochastic_volatility,0,bucketed,history,64,512,6,29,0.6601903811097145,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,0,0.6257724165916443,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,1,0.590209037065506,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,2,0.6008947938680649,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,3,0.503404326736927,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,4,0.5057251080870628,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,5,0.49318500608205795,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,6,0.5211083367466927,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,7,0.5632940754294395,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,8,0.5237662196159363,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,9,0.5278636068105698,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,10,0.5723836123943329,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,11,0.5083690956234932,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,12,0.5311498939990997,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,13,0.5873149335384369,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,14,0.6679354086518288,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,15,0.5409410372376442,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,16,0.573319099843502,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,17,0.5373761132359505,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,18,0.47157543897628784,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,19,0.6042132303118706,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,20,0.5773999467492104,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,21,0.5555531308054924,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,22,0.5302450060844421,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,23,0.5972180590033531,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,24,0.5500533506274223,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,25,0.53560009598732,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,stochastic_volatility,0,bucketed,history,128,512,6,26,0.5496773049235344,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
