row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,eight_schools_centered,0,bucketed,history,64,512,10,28,2.011728920042515,2.085471771657467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_centered,0,bucketed,history,64,512,10,29,2.005476228892803,2.028571493923664,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,0,1.8622002303600311,6.616889916360378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,1,1.8594210967421532,2.0792775973677635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,2,1.8502070382237434,2.043062835931778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,3,1.9263663068413734,1.9970072135329247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,4,1.823288545012474,1.9923262000083923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,5,1.878809630870819,2.1531567201018333,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,6,1.8716798722743988,2.0624205097556114,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,7,1.8452510088682175,2.059899851679802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,8,1.8896238431334496,2.0969169810414314,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,9,1.8762173056602478,2.1098748072981834,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,10,1.9460948407649994,2.103776454925537,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,11,2.0005441159009933,2.0339782685041428,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,12,1.968263640999794,2.0171046629548073,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,13,1.8674240857362747,2.0841848850250244,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,14,1.9010257050395012,2.0174858942627907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,15,1.8576574549078941,2.100391775369644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,16,1.8799389153718948,1.9914533644914627,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,17,1.8876733183860779,2.0405857786536217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,18,1.9646348431706429,2.0139219909906387,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,19,2.0499307811260223,2.03299493342638,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,20,1.935219794511795,2.0420066565275192,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,21,2.05248761177063,2.30061886459589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,22,1.9471291452646255,2.491060383617878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,23,1.8961237967014313,2.551964722573757,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,24,1.8905295506119728,2.130551427602768,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,25,1.8840415850281715,2.0800612345337868,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,26,1.854422114789486,2.040302462875843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,27,1.8615945279598236,2.053363487124443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,28,1.8448119312524796,2.085471771657467,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_centered,0,bucketed,history,128,512,10,29,1.8947161063551903,2.028571493923664,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,0,2.183994673192501,6.616889916360378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,1,2.046504259109497,2.0792775973677635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,2,2.1364679113030434,2.043062835931778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,3,2.0732104778289795,1.9970072135329247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,4,1.9211799129843712,1.9923262000083923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,5,2.0251415371894836,2.1531567201018333,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,6,1.9734249711036682,2.0624205097556114,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,7,1.9730893820524216,2.059899851679802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,8,2.0173763558268547,2.0969169810414314,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,9,2.0514823272824287,2.1098748072981834,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,10,2.0348245054483414,2.103776454925537,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,11,1.9841871410608292,2.0339782685041428,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,12,2.185980901122093,2.0171046629548073,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,13,2.0920082479715347,2.0841848850250244,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,14,2.2151151970028877,2.0174858942627907,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,15,1.9778246954083443,2.100391775369644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,16,2.0693596974015236,1.9914533644914627,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,17,2.0782076939940453,2.0405857786536217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,18,2.0497695207595825,2.0139219909906387,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,19,1.9742305353283882,2.03299493342638,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,20,2.2276104018092155,2.0420066565275192,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,21,2.112844079732895,2.30061886459589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,22,2.233218267560005,2.491060383617878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,23,2.37234103679657,2.551964722573757,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,24,2.0918048098683357,2.130551427602768,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,25,2.0453886538743973,2.0800612345337868,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,eight_schools_centered,0,bucketed,last_depth,64,512,10,26,2.1601011157035828,2.040302462875843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
