row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
4,funnel,0,bucketed,history,128,512,4,23,0.9966648891568184,1.0334468856453896,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,24,1.1183650866150856,1.0451246723532677,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,25,1.0654857233166695,0.999073289334774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,26,1.0075213089585304,1.0261517688632011,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,27,1.1217293441295624,1.024169348180294,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,28,1.0166904255747795,1.0385425388813019,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,funnel,0,bucketed,history,128,512,4,29,0.9999770000576973,0.9882810711860657,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,0,1.1233080103993416,1.1752708405256271,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,1,0.9955116882920265,1.1890087276697159,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,2,0.9911239668726921,1.2606843411922455,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,3,1.140676200389862,1.1545001938939095,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,4,1.141301691532135,1.206381805241108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,5,1.048893503844738,1.260070115327835,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
5,funnel,0,bucketed,last_depth,64,512,4,6,1.0028816685080528,1.2572556287050247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
