row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
3,eight_schools_noncentered,0,bucketed,history,64,512,10,23,0.46523186564445496,0.47432053834199905,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,24,0.5412632599473,0.41115882992744446,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,25,0.5088925436139107,0.43033184856176376,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,26,0.5394657105207443,0.4238474667072296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,27,0.5346951186656952,0.4765070006251335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,28,0.58043172955513,0.49719198048114777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,eight_schools_noncentered,0,bucketed,history,64,512,10,29,0.5862540677189827,0.5434698089957237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,0,0.49716704338788986,4.783946365118027,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,1,0.4322413206100464,0.4406552165746689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,2,0.4585217833518982,0.38037731498479843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,3,0.475824773311615,0.45840317010879517,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,4,0.5168741792440414,0.41867369413375854,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,5,0.41292333602905273,0.4614218771457672,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,6,0.4285953715443611,0.39845936745405197,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,7,0.43973613530397415,0.4637657627463341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,8,0.4871346056461334,0.42654789984226227,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,9,0.5396025478839874,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,10,0.7249412387609482,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,11,0.6988569870591164,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,12,0.6401889473199844,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,13,0.6157997772097588,0.48324649780988693,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,14,0.678974337875843,0.44373349845409393,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,15,0.5224120914936066,0.38824448734521866,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,16,0.48762286454439163,0.40607158839702606,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,17,0.5182499438524246,0.4142390862107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,18,0.4185977801680565,0.46437107771635056,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,19,0.4047871530056,0.4123690128326416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,20,0.4126821979880333,0.34695278108119965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,21,0.4365052059292793,0.42094798386096954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
4,eight_schools_noncentered,0,bucketed,history,128,512,10,22,0.4906197637319565,0.4756600558757782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
